;Unnamed: 0;channel_id;video_id;title;duration;view_count;datapoint_0;datapoint_1;datapoint_2;datapoint_3;datapoint_4;datapoint_5;datapoint_6;datapoint_7;datapoint_8;datapoint_9;datapoint_10;datapoint_11;datapoint_12;datapoint_13;datapoint_14;datapoint_15;datapoint_16;datapoint_17;datapoint_18;datapoint_19;datapoint_20;datapoint_21;datapoint_22;datapoint_23;datapoint_24;datapoint_25;datapoint_26;datapoint_27;datapoint_28;datapoint_29;datapoint_30;datapoint_31;datapoint_32;datapoint_33;datapoint_34;datapoint_35;datapoint_36;datapoint_37;datapoint_38;datapoint_39;datapoint_40;datapoint_41;datapoint_42;datapoint_43;datapoint_44;datapoint_45;datapoint_46;datapoint_47;datapoint_48;datapoint_49;datapoint_50;datapoint_51;datapoint_52;datapoint_53;datapoint_54;datapoint_55;datapoint_56;datapoint_57;datapoint_58;datapoint_59;datapoint_60;datapoint_61;datapoint_62;datapoint_63;datapoint_64;datapoint_65;datapoint_66;datapoint_67;datapoint_68;datapoint_69;datapoint_70;datapoint_71;datapoint_72;datapoint_73;datapoint_74;datapoint_75;datapoint_76;datapoint_77;datapoint_78;datapoint_79;datapoint_80;datapoint_81;datapoint_82;datapoint_83;datapoint_84;datapoint_85;datapoint_86;datapoint_87;datapoint_88;datapoint_89;datapoint_90;datapoint_91;datapoint_92;datapoint_93;datapoint_94;datapoint_95;datapoint_96;datapoint_97;datapoint_98;datapoint_99
0;0;UCEickjZj99-JJIU8_IJ7J-Q;yrjzQk3i6_c;AXM - Sunlight (Vlog No Copyright Music);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;UCEickjZj99-JJIU8_IJ7J-Q;nX4gy-YdQUs;giant cactus - come with me (Vlog No Copyright Music);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;2;UCEickjZj99-JJIU8_IJ7J-Q;necWJNktzDo;Waesto - New Story (Vlog No Copyright Music);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;3;UCEickjZj99-JJIU8_IJ7J-Q;uOHK7UjFEsk;TVARI - Revive (Vlog No Copyright Music);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;4;UCEickjZj99-JJIU8_IJ7J-Q;oENYGMvtp7s;Fablik - Dreamer (Vlog No Copyright Music);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5;UCEickjZj99-JJIU8_IJ7J-Q;JBNywrN_gys;AgusAlvarez - Closer (Vlog No Copyright Music);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;6;UCEickjZj99-JJIU8_IJ7J-Q;jCiW6dxzGeI;giant cactus - blame (Vlog No Copyright Music);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;7;UCEickjZj99-JJIU8_IJ7J-Q;UZulP-KR8Lk;ASHUTOSH & TVARI - Bailar (Vlog No Copyright Music);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;8;UCEickjZj99-JJIU8_IJ7J-Q;_RtrrnVKoLw;Fablik - Standby (Vlog No Copyright Music);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;9;UCEickjZj99-JJIU8_IJ7J-Q;BR_18BcGQLU;AXM - Dreaming (Vlog No Copyright Music);167.0;54307;0.07074986978685924;0.0;0.032456890777213684;0.047219585900505366;0.054228428023012795;0.04931582825104763;0.04179894645399756;0.06398113005373844;0.05835700195927699;0.07094338858601765;0.08792451913920901;0.07320446961192008;0.07538369798711635;0.11489655234944769;0.0877803309213727;0.10599142193441269;0.13082278069340894;0.11199138835580827;0.12944160125530194;0.15215330100541027;0.15317660321219692;0.17678993075238858;0.21061249871727042;0.1911876986742099;0.21309777647783415;0.24876885814188374;0.22605519899952664;0.2500801141703286;0.27226492950279574;0.2521866529350409;0.2725548427167027;0.303457378358528;0.2915350912360265;0.3276854171924529;0.3726932718581059;0.40623038326596034;0.4908691360720694;0.579980758768117;0.5945975944272426;0.6566351802577477;0.6972225691712528;0.6853447333591793;0.7152568154289769;0.7503627468973504;0.7343510544738323;0.7480711800332244;0.709860341820204;0.5641996599186606;0.5094839003078129;0.5108526318422217;0.5046274505705847;0.5158447790975416;0.5148520203581624;0.52986150285616;0.5389156623404695;0.5466403549742572;0.556284560461639;0.5667345756161933;0.5724679110139321;0.5843997645809422;0.6063096887067431;0.601759365193794;0.6086864699239629;0.6332638568700076;0.626340209890866;0.6482611219810424;0.6660904388612181;0.6595355418194048;0.6625713703824184;0.681636026446263;0.6914582676920922;0.7025879230207804;0.7205573172370157;0.7284973893403452;0.7385642856810803;0.7423658908382622;0.7407228443890248;0.7483776904520621;0.7545397101382681;0.7629616390569729;0.7788471619874523;0.7800666723553075;0.7838323937407177;0.7979610717937072;0.8116217240354305;0.8208057412805412;0.8272310879172002;0.8342495541134002;0.8330545553583827;0.8467980399469366;0.8544920738549494;0.8585502441383532;0.882151315872126;0.8904681291596025;0.8916748074292009;0.9088774261454156;0.9222357941084456;0.9381477496245555;0.9863398087917469;1.0
14;14;UCEickjZj99-JJIU8_IJ7J-Q;4kHIuT_4ZJs;Limujii - Sky Blue (Vlog No Copyright Music);182.0;63667;0.19890535091246578;0.0;0.0359438483021793;0.04836911078064285;0.04881602439914193;0.028550840297136275;0.05964674931968308;0.07515708400860047;0.06517831644988427;0.10040428970169701;0.08729485097875289;0.08081198492958691;0.1286088740828626;0.13233740428983878;0.1561736198673243;0.2114952138235847;0.15532174476458616;0.21508154548920644;0.25814664519338903;0.29988978653355686;0.32567450051939756;0.315220083501199;0.34694708423755494;0.3840100674154346;0.3533074665064991;0.352348270715203;0.4026934092785782;0.39818824361357585;0.4419719586999061;0.41147023448089787;0.4361469185677541;0.4659159885204702;0.47191262110765425;0.45174516080074834;0.4022618781093078;0.38698126563008334;0.4033649724630852;0.4042004505878577;0.41852126404248297;0.43908450023560375;0.45408395115619943;0.4634013282374743;0.4731254490832019;0.456896224815181;0.4869981150330263;0.4991240366946818;0.4954099292475885;0.5200550258451195;0.5145917063372537;0.5383580016909726;0.5782204809496866;0.566103498108795;0.5844334549351133;0.605844727473589;0.7009099088884645;0.7424189408676442;0.7172037887986978;0.7422063833873935;0.7693289591606941;0.7703568687091507;0.7902981165273998;0.7623375948567231;0.8037724839790146;0.8372236351743694;0.847297850693451;0.8306611149095006;0.8502398743519869;0.8636056598090465;0.874332025368154;0.9010990225289816;0.9415246474958209;0.9870474841949447;1.0;0.9458801016228758;0.9349951405444482;0.9376022052015985;0.9401113267060843;0.9461022011571935;0.9536423980881892;0.9631107480134088;0.9600361227069766;0.9573328697576798;0.9661114498205176;0.9798361042535214;0.960944811418987;0.957699525927173;0.9803854852744581;0.981391788102786;0.9761840201578634;0.9904344746735925;0.9916864579744495;0.9694750787185186;0.9431052284286856;0.9250540750671749;0.9026284931492576;0.9170046395495931;0.9316800993470411;0.9435245304137208;0.9607897256207031;0.9862724939186542
19;19;UCEickjZj99-JJIU8_IJ7J-Q;AlLSI35TyQc;Balynt - Places (Vlog No Copyright Music);161.0;60856;0.2107476083618755;0.0;0.04929715625426833;0.08555689960418747;0.10589788689181037;0.11319363569711029;0.0903458068040946;0.13011533631359834;0.1590641417290138;0.19183483236947815;0.23804461041471808;0.25122617566314553;0.18025603789543354;0.2111179227970637;0.23487678179891847;0.17641261067345307;0.20556632494976182;0.211464789375002;0.1484324443264993;0.17560776008568285;0.21576949254736424;0.19260618601831994;0.19348594269193528;0.21780575991415543;0.17925881092219673;0.20179046913906803;0.23317115232068814;0.21106409668140627;0.229912015669637;0.246522454644134;0.23484109023295677;0.27218492158395474;0.31126435639818967;0.28707396441758787;0.3162387095824058;0.346668830491917;0.3513603655555597;0.37924656721348493;0.417693949442146;0.4451189906563754;0.4921656146413965;0.511892135236383;0.5034277475358814;0.5312546365105661;0.5576121649331519;0.5906524481786473;0.547929066189085;0.5692164286314508;0.59415599697719;0.5809448042638138;0.6325324581006716;0.6634172133261219;0.6657588803705916;0.6774445762824924;0.6821706478452372;0.6632679786878614;0.6843710502127778;0.6831611176773453;0.6504581717081966;0.6338860809534383;0.6204454919617454;0.6018922882827419;0.6241756648781419;0.6453074975678623;0.6746723003127633;0.6852167901673778;0.6948863168758445;0.6825575952432037;0.7121753576303572;0.7242157745748415;0.7324883634233063;0.7262988221494466;0.7351506770280014;0.7379659214849078;0.7451588693397031;0.7689449301661015;0.7714811104697281;0.7808996411496034;0.7875035049060021;0.7999386081964122;0.8040785988345953;0.8174839582870705;0.8417557247279313;0.8457932609356676;0.8683968798178922;0.9103591882536631;0.9307399964712707;0.9645288207951307;0.9711763460788223;0.9848763630871818;0.9903810652199839;1.0;0.9892756662353455;0.9608292571505136;0.9411781046681161;0.9297481405589311;0.9379570852234318;0.9454949360425041;0.9186187248466143;0.8331615652657535
22;22;UCEickjZj99-JJIU8_IJ7J-Q;_eecVKxPifg;Waesto - Miami (Vlog No Copyright Music);181.0;53967;0.26504396091450444;0.0;0.03581521473347572;0.048789115040469386;0.06140467346311633;0.06450826117622434;0.07951732219776472;0.13410552391456193;0.1636600545065305;0.19686666283903595;0.27954352769536484;0.2920250573728339;0.36814701210150064;0.45605954954706607;0.5075478020611689;0.6101808481515781;0.5661203371332744;0.6717333438089543;0.726989777491932;0.6927310435097803;0.675998746954572;0.5259543889901882;0.5172810846526994;0.4901091822414955;0.36555910615243126;0.34111773107588633;0.32457467817529567;0.3220733564401357;0.3662816279830312;0.4108875044322504;0.44344292218350667;0.4623271612479482;0.5696579559699538;0.6276498094479206;0.645234463041481;0.8146674357285401;0.860143388967391;0.9145570038540047;0.9542536869365204;1.0;0.9791755509532167;0.8095853617258019;0.7160359288308186;0.6258498774037834;0.5715551616371249;0.5027703762184822;0.4883193640229147;0.48252973336235094;0.46427386710198876;0.4867585458382728;0.5223401353127076;0.5071444002060507;0.5068871965772677;0.5274356944161878;0.5238581958608511;0.5524178302551022;0.5570417397375146;0.5935760844698488;0.6012546159489561;0.6050908804313324;0.6018855377659805;0.5821896436440845;0.6585609493971389;0.6382713819377066;0.6639933071142684;0.6716520220733831;0.6835351092923219;0.6815894723791938;0.695604603361149;0.7116622337481461;0.7041243091121395;0.6885441664081166;0.6610943393596728;0.6722440508864388;0.6738440909799456;0.6664509667244656;0.6666201882935306;0.6486003935223743;0.6769086623497488;0.6830094370420629;0.6453976820961915;0.6587797533792974;0.6360784907689038;0.6260405600173218;0.6073098373131546;0.5927159981664374;0.5922405661390642;0.5963412701579387;0.5821101308854422;0.5654157406195142;0.5500499616815517;0.5519583501151918;0.5641565282246345;0.52659320452472;0.5112493799885751;0.5011725562330243;0.5053489083780115;0.5077144746172888;0.5179395522547756;0.5516090531154889
23;23;UCEickjZj99-JJIU8_IJ7J-Q;-J5ZEmzwzsI;Luke Bergs & AgusAlvarez - Coral (Vlog No Copyright Music);252.0;60850;0.14106660844804586;0.0;0.031155875352215086;0.042676243327018075;0.04338071984278377;0.06532517605309078;0.09921811286212892;0.10776377470209376;0.11757611789622917;0.1351283879080382;0.1633718647052886;0.14129320042409008;0.17043838769764294;0.1903539895434488;0.21959638034900958;0.1970383949085462;0.23141517127702593;0.23237089401390296;0.27307750877566;0.28071244651025185;0.31476227607619717;0.3154215454189122;0.3632556004759196;0.37712101814246574;0.3990201513233073;0.39128140624106456;0.43225133946235395;0.4378595314191938;0.45931674189146443;0.48320364675212296;0.47705491510644377;0.4813991135779362;0.49011670633744786;0.4983786126463116;0.4924663671144996;0.5123274932740717;0.5087193537770165;0.4953600896154003;0.4881390373370004;0.5251755989336391;0.5535131047971322;0.6342092294556686;0.6675849600578059;0.6738730901417591;0.7082893967189648;0.6392070898194002;0.6426694356040851;0.6091060176099897;0.64328922108064;0.6488577438010562;0.6532408236853517;0.6772773223487858;0.6816335235448504;0.6924000138286217;0.7007695739181073;0.7144413723442582;0.7197747528852186;0.7377046916379567;0.7633373209566552;0.7851247222110742;0.7891479057284695;0.8006429011484336;0.8324622630168621;0.8401478995185656;0.853322071471915;0.8538557524609988;0.8342199438569082;0.8490005345151552;0.8368152202333126;0.8488517748785662;0.8638658393838959;0.899160337585202;0.9193578180881894;0.9437214025818556;0.9430031854952959;0.9523241584630284;0.9700601072348438;0.972455647152152;0.9797851873773602;0.987856579397745;0.9928545324466085;0.9779186941925443;0.9993459210246675;1.0;0.9848846306455789;0.9776435120361375;0.9737292335486439;0.9586239668735924;0.9236069679569889;0.9049151574205987;0.8871755939286419;0.8766705684017663;0.8713939111614865;0.8532587675268742;0.8353319800686185;0.8281071740423795;0.8022861158506683;0.7470426259848143;0.6855007179853737;0.6690117549772148
24;24;UCEickjZj99-JJIU8_IJ7J-Q;ETQXU1mz5ww;Niwel - Hidden Love (Vlog No Copyright Music);214.0;51027;0.07682597827440774;0.0;0.03341212509555859;0.05719408550325031;0.032121619001643634;0.047907872260490966;0.05619019994960182;0.07885289933124706;0.10809329202925405;0.06558436317412028;0.10158686303266214;0.09277187108600604;0.11531795458148525;0.08182554243039197;0.09623583698108437;0.1299551768838529;0.13333319739757793;0.15373317816266854;0.12665831001610328;0.16694718708990944;0.16665988687086597;0.18124762855826707;0.19607764174573455;0.1613310013554494;0.20935615218891399;0.20953310655850937;0.23602650951133985;0.2347771919513119;0.2537436282238651;0.2821287131488787;0.2757749060216651;0.318875342324464;0.3020292999325589;0.3630352279209323;0.35300034850529294;0.3728064259550294;0.3851979895781455;0.4156731547103523;0.436021921679595;0.4513085090855211;0.4713815983428072;0.45322805788756176;0.48639325568343145;0.49889914127684115;0.5206021682092826;0.5475564613408057;0.5372301016816442;0.5574976470370339;0.5489790969889721;0.5829209637233347;0.5876391578576049;0.6127990310499355;0.6272861802783386;0.62881600126964;0.6439192113415279;0.6497913641034111;0.6686341668064256;0.6646935251930585;0.6646247417008248;0.6832562322720659;0.6886755150648252;0.7066023826479367;0.7068500575942803;0.7313196490206764;0.7323204080519505;0.754865421053356;0.7729308071712228;0.7828276778111897;0.8044768741844917;0.829182586018022;0.8534946958717841;0.8504571434494343;0.8536724998398507;0.8459261328503536;0.8494956698514715;0.8672874852615905;0.8550018835598108;0.8741693688146045;0.8709271651124962;0.8805828177545011;0.889291338020738;0.899918863345994;0.9145308695657345;0.9362869794106607;0.9482920776811671;0.9616839245604135;0.9618985671181943;0.9629494184753343;0.976325972582098;0.9761403523080957;0.9755164071907976;0.9791902069163093;0.9899640670822563;0.97391019030496;0.9686537585471731;0.981280423059258;0.9950302567503572;0.9992485471441342;1.0;0.999330516404642
