;Unnamed: 0;channel_id;video_id;title;duration;view_count;datapoint_0;datapoint_1;datapoint_2;datapoint_3;datapoint_4;datapoint_5;datapoint_6;datapoint_7;datapoint_8;datapoint_9;datapoint_10;datapoint_11;datapoint_12;datapoint_13;datapoint_14;datapoint_15;datapoint_16;datapoint_17;datapoint_18;datapoint_19;datapoint_20;datapoint_21;datapoint_22;datapoint_23;datapoint_24;datapoint_25;datapoint_26;datapoint_27;datapoint_28;datapoint_29;datapoint_30;datapoint_31;datapoint_32;datapoint_33;datapoint_34;datapoint_35;datapoint_36;datapoint_37;datapoint_38;datapoint_39;datapoint_40;datapoint_41;datapoint_42;datapoint_43;datapoint_44;datapoint_45;datapoint_46;datapoint_47;datapoint_48;datapoint_49;datapoint_50;datapoint_51;datapoint_52;datapoint_53;datapoint_54;datapoint_55;datapoint_56;datapoint_57;datapoint_58;datapoint_59;datapoint_60;datapoint_61;datapoint_62;datapoint_63;datapoint_64;datapoint_65;datapoint_66;datapoint_67;datapoint_68;datapoint_69;datapoint_70;datapoint_71;datapoint_72;datapoint_73;datapoint_74;datapoint_75;datapoint_76;datapoint_77;datapoint_78;datapoint_79;datapoint_80;datapoint_81;datapoint_82;datapoint_83;datapoint_84;datapoint_85;datapoint_86;datapoint_87;datapoint_88;datapoint_89;datapoint_90;datapoint_91;datapoint_92;datapoint_93;datapoint_94;datapoint_95;datapoint_96;datapoint_97;datapoint_98;datapoint_99
0;0;UCUFDNffZtBGisDliMx12fYw;3aH8PFwpJu4;"🎷 Jazzy Piano (Royalty Free Music) - ""EARLY SUMMER"" by Tokyo Music Walker 🇯🇵";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;UCUFDNffZtBGisDliMx12fYw;KlxTxdMCFxA;"🛰 Space & Ambient Electronic (Royalty Free Music) - ""The ANO Interval"" by Pipe Choir Records";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;2;UCUFDNffZtBGisDliMx12fYw;waR2SMQyMno;"🪕 Banjo & Country (Royalty Free Music) - ""BANJO FEVER"" by Alexander Nakarada 🇳🇴";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;3;UCUFDNffZtBGisDliMx12fYw;TFVaBqQmVW0;"⭐ Instrumental Metal (Royalty Free Music) - ""SUPERNOVA"" by Arthur Vyncke 🇧🇪";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;4;UCUFDNffZtBGisDliMx12fYw;Nn9K9E5UI6s;"🦜 Adventure & Pirate (Royalty Free Music) - ""THREE SHEETS TO THE WIND"" by Scott Buckley 🇸🇪 🇦🇺";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5;UCUFDNffZtBGisDliMx12fYw;nja2VsVkwrY;"🌻 Uplifting (Royalty Free Music) - ""CHEAP CHILLL"" by Alexander Nakarada 🇳🇴";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;6;UCUFDNffZtBGisDliMx12fYw;W4x_6trXTjY;"🐸 Meme (Royalty Free Music) - ""THE MEMESONG"" by Alexander Nakarada 🇳🇴";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;7;UCUFDNffZtBGisDliMx12fYw;aS9hvzfPnrM;"🔥 Reggaeton Instrumental (Royalty Free Music) - ""SHIMMER"" by Mehul Choudhary";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;8;UCUFDNffZtBGisDliMx12fYw;rgwnQmTb7lE;"✌️ Grace & Victory (Royalty Free Music) - ""VICTOR LUX"" by Scott Buckley 🇸🇪 🇦🇺";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;9;UCUFDNffZtBGisDliMx12fYw;cB-Q3nNprJY;"💊 Psychedelic & Techno (Royalty Free Music) - ""RECALL"" by Glitch 🇵🇱";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
